"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2014年5月21日","2,024.95","2,001.31","2,025.19","1,991.06","6.18B","0.84%"
"2014年5月20日","2,008.12","2,011.85","2,018.16","2,002.76","6.13B","0.15%"
"2014年5月19日","2,005.18","2,023.01","2,023.27","1,996.01","6.53B","-1.05%"
"2014年5月16日","2,026.50","2,023.60","2,027.76","2,012.69","6.64B","0.08%"
"2014年5月15日","2,024.97","2,044.38","2,047.32","2,022.86","7.58B","-1.12%"
"2014年5月14日","2,047.91","2,049.27","2,056.57","2,042.74","7.20B","-0.14%"
"2014年5月13日","2,050.73","2,055.08","2,061.06","2,043.55","9.72B","-0.10%"
"2014年5月12日","2,052.87","2,022.93","2,055.51","2,016.64","11.57B","2.08%"
"2014年5月9日","2,011.13","2,016.50","2,020.45","2,001.30","7.62B","-0.21%"
"2014年5月8日","2,015.27","2,006.85","2,036.94","2,005.69","7.79B","0.26%"
"2014年5月7日","2,010.08","2,023.15","2,024.63","2,008.45","7.44B","-0.89%"
"2014年5月6日","2,028.04","2,024.26","2,038.70","2,021.49","7.46B","0.03%"
"2014年5月5日","2,027.35","2,022.18","2,028.96","2,007.35","7.99B","0.05%"
"2014年4月30日","2,026.36","2,020.44","2,029.54","2,016.58","7.45B","0.30%"
"2014年4月29日","2,020.34","2,001.90","2,021.68","1,997.64","7.62B","0.84%"
"2014年4月28日","2,003.49","2,033.34","2,035.99","2,000.14","8.98B","-1.62%"
"2014年4月25日","2,036.52","2,060.54","2,065.64","2,035.57","9.30B","-1.00%"
"2014年4月24日","2,057.03","2,064.16","2,075.76","2,056.19","7.82B","-0.50%"
"2014年4月23日","2,067.38","2,068.08","2,076.35","2,059.11","7.85B","-0.26%"
"2014年4月22日","2,072.83","2,062.79","2,073.66","2,047.33","9.87B","0.34%"
"2014年4月21日","2,065.83","2,085.98","2,103.08","2,065.23","9.64B","-1.52%"
"2014年4月18日","2,097.75","2,091.48","2,099.64","2,081.18","8.82B","-0.05%"
"2014年4月17日","2,098.88","2,108.95","2,110.72","2,095.71","8.99B","-0.30%"
"2014年4月16日","2,105.12","2,097.21","2,112.05","2,092.16","8.94B","0.17%"
"2014年4月15日","2,101.60","2,125.90","2,125.90","2,098.15","10.75B","-1.40%"
"2014年4月14日","2,131.54","2,127.41","2,134.43","2,116.61","10.21B","0.05%"
"2014年4月11日","2,130.54","2,130.37","2,138.65","2,120.18","13.18B","-0.18%"
"2014年4月10日","2,134.30","2,105.88","2,146.67","2,098.08","15.68B","1.38%"
"2014年4月9日","2,105.24","2,100.65","2,108.75","2,095.64","10.53B","0.33%"
"2014年4月8日","2,098.28","2,054.53","2,102.45","2,052.90","13.34B","1.92%"
"2014年4月4日","2,058.83","2,037.55","2,060.10","2,035.22","8.32B","0.74%"
"2014年4月3日","2,043.70","2,063.50","2,066.01","2,037.45","10.86B","-0.74%"
"2014年4月2日","2,058.99","2,049.42","2,060.78","2,046.74","10.27B","0.56%"
"2014年4月1日","2,047.46","2,031.00","2,050.68","2,028.10","8.33B","0.70%"
"2014年3月31日","2,033.31","2,043.05","2,048.13","2,024.19","9.44B","-0.41%"
"2014年3月28日","2,041.71","2,046.85","2,060.13","2,035.24","12.17B","-0.24%"
"2014年3月27日","2,046.59","2,060.81","2,073.98","2,042.71","11.91B","-0.83%"
"2014年3月26日","2,063.67","2,070.57","2,074.57","2,057.65","10.26B","-0.18%"
"2014年3月25日","2,067.31","2,063.32","2,079.55","2,057.49","13.18B","0.05%"
"2014年3月24日","2,066.28","2,050.83","2,074.06","2,043.33","14.77B","0.91%"
"2014年3月21日","2,047.62","1,987.68","2,052.47","1,986.07","14.45B","2.72%"
"2014年3月20日","1,993.48","2,017.22","2,030.85","1,993.00","11.03B","-1.40%"
"2014年3月19日","2,021.73","2,019.98","2,022.18","2,002.44","9.52B","-0.17%"
"2014年3月18日","2,025.20","2,026.22","2,034.92","2,020.41","9.68B","0.08%"
"2014年3月17日","2,023.67","2,009.88","2,024.37","1,999.25","8.63B","0.96%"
"2014年3月14日","2,004.34","2,008.82","2,017.91","1,990.98","8.78B","-0.73%"
"2014年3月13日","2,019.11","2,000.69","2,029.12","1,996.53","10.10B","1.07%"
"2014年3月12日","1,997.69","1,996.24","2,011.06","1,974.38","10.14B","-0.17%"
"2014年3月11日","2,001.16","1,994.42","2,008.07","1,985.60","9.27B","0.11%"
"2014年3月10日","1,999.06","2,042.35","2,042.63","1,995.55","11.57B","-2.86%"
"2014年3月7日","2,057.91","2,058.38","2,079.49","2,050.47","10.37B","-0.08%"
"2014年3月6日","2,059.58","2,050.03","2,065.79","2,030.95","10.93B","0.32%"
"2014年3月5日","2,053.08","2,073.29","2,074.81","2,050.18","10.77B","-0.89%"
"2014年3月4日","2,071.47","2,068.11","2,074.03","2,050.12","11.59B","-0.18%"
"2014年3月3日","2,075.23","2,052.08","2,078.33","2,047.07","12.75B","0.92%"
"2014年2月28日","2,056.30","2,040.62","2,058.49","2,020.93","11.16B","0.44%"
"2014年2月27日","2,047.35","2,045.10","2,068.31","2,036.39","13.22B","0.30%"
"2014年2月26日","2,041.25","2,026.61","2,041.63","2,014.38","11.01B","0.35%"
"2014年2月25日","2,034.22","2,077.28","2,087.62","2,026.54","14.01B","-2.05%"
"2014年2月24日","2,076.69","2,099.72","2,099.72","2,058.79","12.36B","-1.75%"
"2014年2月21日","2,113.69","2,131.59","2,132.70","2,098.33","11.77B","-1.17%"
"2014年2月20日","2,138.78","2,152.89","2,177.98","2,136.48","15.71B","-0.18%"
"2014年2月19日","2,142.55","2,116.92","2,152.96","2,111.17","15.13B","1.11%"
"2014年2月18日","2,119.07","2,134.14","2,134.14","2,113.13","14.29B","-0.77%"
"2014年2月17日","2,135.41","2,124.88","2,136.45","2,117.69","14.02B","0.92%"
"2014年2月14日","2,115.85","2,097.32","2,116.19","2,095.09","11.15B","0.83%"
"2014年2月13日","2,098.40","2,106.93","2,122.83","2,096.97","14.65B","-0.55%"
"2014年2月12日","2,109.96","2,103.83","2,110.90","2,096.51","12.63B","0.30%"
"2014年2月11日","2,103.67","2,086.18","2,111.06","2,082.52","14.22B","0.84%"
"2014年2月10日","2,086.07","2,049.98","2,087.97","2,049.98","12.43B","2.03%"
"2014年2月7日","2,044.50","2,022.32","2,044.73","2,014.70","7.36B","0.56%"
"2014年1月30日","2,033.08","2,045.93","2,045.93","2,031.47","6.26B","-0.82%"
"2014年1月29日","2,049.91","2,042.18","2,051.58","2,039.77","7.39B","0.56%"
"2014年1月28日","2,038.51","2,036.40","2,047.13","2,026.99","7.25B","0.26%"
"2014年1月27日","2,033.30","2,044.27","2,044.85","2,029.63","8.88B","-1.03%"
"2014年1月24日","2,054.39","2,037.67","2,060.99","2,034.45","9.29B","0.60%"
"2014年1月23日","2,042.18","2,048.33","2,052.53","2,039.05","8.42B","-0.47%"
"2014年1月22日","2,051.75","2,009.97","2,052.34","2,008.93","9.89B","2.16%"
"2014年1月21日","2,008.31","1,992.02","2,014.15","1,992.02","5.98B","0.86%"
"2014年1月20日","1,991.25","2,001.89","2,005.94","1,984.82","5.63B","-0.68%"
"2014年1月17日","2,004.95","2,017.52","2,017.87","2,001.33","6.73B","-0.93%"
"2014年1月16日","2,023.70","2,022.54","2,034.71","2,014.41","7.28B","0.02%"
"2014年1月15日","2,023.35","2,024.23","2,027.41","2,010.20","6.74B","-0.17%"
